No.,Trade Test Centre,Accreditation Number,SAQA ID,Trade Title,Physical Address,Contact No,Email Address,Contact Person,Start Date,End Date
,Industries Education and Training Institute,AC-TTC231123181230,97585,Occupational Certificate: Millwright,"Corner 20 Voortrekker Road and Townsend Estate, Goodwood Cape Town Western Cape 7405",828204379,msilber@ietisa.co.za,Elsie Harmse,23-Nov-23,22-Nov-28
,Industries Education and Training Institute,AC-TTC231123181230,91761,Occupational Certificate: Electrician ,"Corner 20 Voortrekker Road and Townsend Estate, Goodwood Cape Town Western Cape 7405",828204379,msilber@ietisa.co.za,Elsie Harmse,23-Nov-23,22-Nov-28
,Industries Education and Training Institute,AC-TTC231123181230,94100,Occupational Certificate: Welder    ,"Corner 20 Voortrekker Road and Townsend Estate, Goodwood Cape Town Western Cape 7405",828204379,msilber@ietisa.co.za,Elsie Harmse,23-Nov-23,22-Nov-28
,Industries Education and Training Institute,AC-TTC231123181230,93627,Occupational Certificate: Bricklayer,"Corner 20 Voortrekker Road and Townsend Estate, Goodwood Cape Town Western Cape 7405",828204379,msilber@ietisa.co.za,Elsie Harmse,23-Nov-23,22-Nov-28
,Industries Education and Training Institute,AC-TTC231123181230,91782,Occupational Certificate: Plumber,"Corner 20 Voortrekker Road and Townsend Estate, Goodwood Cape Town Western Cape 7405",828204379,msilber@ietisa.co.za,Elsie Harmse,23-Nov-23,22-Nov-28
,Industries Education and Training Institute,AC-TTC231123181230,94022,Occupational Certificate: Carpenter,"Corner 20 Voortrekker Road and Townsend Estate, Goodwood Cape Town Western Cape 7405",828204379,msilber@ietisa.co.za,Elsie Harmse,23-Nov-23,22-Nov-28
,Industry Training and Consulting for Automotive Body Repairers,07-QCTO/AC-TTC250723120508,99507,Occupational Certificate: Vehicle Damage Quantifier,"541 Welthagen Street Pretoria Gardens
Gauteng 0030",123792093,info@it-c.co.za,Frederick Botha,24-Aug-23,23-Aug-28
,Institute of Business Management of Southern Africa,QCTOASC00210726- 2349,102497,Occupational Certificate: Hairdresser,"Unit 7,8,9 Baycentre, Industrieslot 5 Langebaan Western Cape 7357",226340001,isabel@rainbowpro.co.za,Ms Daleen Stuart,26-Jul-21,25-Jul-26
,Institute of Culinary Arts (Pty) Ltd,QCTOASC00210726-2500,101697,Occupational Certificate: Chef,"Farm Calenick, Zevenrivieren Road, Banhoek Stellenbosch",218851414,admin@icachef.co.za,M Mitrovich,22-Oct-21,21-Oct-26
,"Intouch Community Development &
Project Managers (Pty) Ltd",QCTOASC00210614- 2339,93627,Occupational Certificate: Bricklayer,31 Taganashoek - Deer Park Tzaneen 0850,834577386,Intouch2@mweb.co.za,Kganya Ramoshaba,14-Jun-21,13-Jun-26
,Izibuko the Bridge Investment and Projects (Pty) Ltd,07-QCTO/AC-TTC170922161507,91761,Occupational Certificate: Electrician,40 Corner 5th Avenue and Ruth Avenue Florida Gauteng 1709,114723286,info@izibukothebridge.co.za,Sydwell Zondo,14-Sep-22,13-Sep-27
,Jackie Cameron School of Food and Wine (Pty) Ltd,05-QCTO/AC-TTC231122081707,101697,Occupational Certificate: Chef,241 Old Howick Road Hilton KwaZulu-Natal 3245,722418421,admin@jackiecameron.co.za,Jackie Cameron,23-Nov-22,22-Nov-27
,Johannesburg Metro Police Department Academy,AC-TTC030823101058,97639,Occupational Certificate: Traffic Officer,"1 Stevens Road, Stafford Booysens
Johannesburg Gauteng 2000",829228550,granny.sebake@rtmc.co.za,Abraham Pitso,02-Aug-23,01-Aug-28
,Johannesburg Metro Police Department Academy,AC-TTC030823101058,101875,Occupational Certificate: Road Traffic Safety Officer,"1 Stevens Road, Stafford Booysens
Johannesburg Gauteng 2000",829228550,granny.sebake@rtmc.co.za,Abraham Pitso,02-Aug-23,01-Aug-28
,Johannesburg Pastry School (Pty) Ltd,AC-TTC140723101448,101697,Occupational Certificate: Chef,"85 Commissioner Street, Corner Harrison Johannesburg Gauteng 2001",110245277,rayverne@jcps.co.za,Rayverne Fransman,14-Jul-23,13-Jul-28
,K Boneng Consulting Services CC,AC-TTC051223144737,91761,Occupational Certificate: Electrician ,"Copper Farm, Letsitele Road, Nkowankowa
Tzaneenp Limpopo 0870",102552023,info@kbonengconsulting.co.za nthateng@kbonengconsulting.co.za,Nthabiseng Mogotlane,05-Dec-23,04-Dec-28
,K2012024435 (South Africa),07-QCTO/AC-TTC150323112314,102497,Occupational Certificate: Hairdresser,43 Voortrekker Road Alberton Gauteng 1449,0828873877/ 0716499687,principal@thehairacademy.co.za,Jacquie Skinner,15-Mar-23,14-Mar-28
,Khomanani Business Solutions (Pty) Ltd,AC-TTC231123184828,91782,Occupational Certificate: Welder    ,"Osizweni Educational Science Centre, Embalenhle, Evender Secunda Mpumalanga",175180176,given@kbsartisan.co.za,Given Ngobeni,23-Nov-23,22-Nov-28
,Khosithi Artisan and Skills Training Institute (Pty) Ltd,08-QCTO/AC-TTC150323012629,94020,Occupational Certificate: Fitter and Turner,Plot No. 14 R40 Road Cromdale Nelspruit Mpumalanga 1200,131101731,Khosithi@gmail.com,Fortunate Nkosi,12-Mar-23,11-Mar-28
,Khosithi Artisan and Skills Training Institute (Pty) Ltd,08-QCTO/AC-TTC150323012629,94021,Occupational Certificate: Mechanical Fitter,Plot No. 14 R40 Road Cromdale Nelspruit Mpumalanga 1200,131101731,Khosithi@gmail.com,Fortunate Nkosi,12-Mar-23,11-Mar-28
,Khosithi Artisan and Skills Training Institute (Pty) Ltd,08-QCTO/AC-TTC150323012629,91761,Occupational Certificate: Electrician,Plot No. 14 R40 Road Cromdale Nelspruit Mpumalanga 1200,131101731,Khosithi@gmail.com,Fortunate Nkosi,12-Mar-23,11-Mar-28
,Khosithi Artisan and Skills Training Institute (Pty) Ltd,08-QCTO/AC-TTC150323012629,97585,Occupational Certificate: Millwright,Plot No. 14 R40 Road Cromdale Nelspruit Mpumalanga 1200,131101731,Khosithi@gmail.com,Fortunate Nkosi,12-Mar-23,11-Mar-28
,Khosithi Artisan and Skills Training Institute (Pty) Ltd,08-QCTO/AC-TTC150323012629,94100,Occupational Certificate: Welder,Plot No. 14 R40 Road Cromdale Nelspruit Mpumalanga 1200,131101731,Khosithi@gmail.com,Fortunate Nkosi,12-Mar-23,11-Mar-28
,Khosithi Artisan and Skills Training Institute (Pty) Ltd,08-QCTO/AC-TTC150323012629,91782,Occupational Certificate:  Plumber  ,Plot No. 14 R40 Road Cromdale Nelspruit Mpumalanga 1200,131101731,Khosithi@gmail.com,Fortunate Nkosi,12-Mar-23,11-Mar-28
,Kroonstad Trade Test Centre ,04-QCTO/AC-TTC140922105011,91782,Occupational Certificate: Plumber,"Hoerskool Kroonstad, Landbou Terrein Kroonstad Free State 9499",074 859 4711,daniel@kttcentre.co.za,Daniel Fourie,14-Sep-22,13-Sep-27
,KZN Traffic Training College,AC-TTC030823095214,97639,Occupational Certificate: Traffic Officer,240 Burger Street Pietermaritzburg KwaZulu-Natal 3200,836311285,granny.sebake@rtmc.co.za,Sanjeth Sewlall,02-Aug-23,01-Aug-28
,KZN Traffic Training College,AC-TTC030823095214,101875,Occupational Certificate: Road Traffic Safety Officer,240 Burger Street Pietermaritzburg KwaZulu-Natal 3200,836311285,granny.sebake@rtmc.co.za,Sanjeth Sewlall,02-Aug-23,01-Aug-28
,Lactalis Bonnievale (Pty) Ltd,01-QCTO/AC-TTC240823165231,102961,Occupational Certificate: Dried Dairy Products Maker,"R317 UITSIG, Bonnievale Western Cape 6730",061 485 7038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Lactalis Bonnievale (Pty) Ltd,01-QCTO/AC-TTC240823165231,103129,Occupational Certificate: Ripened Cheesemaker,"R317 UITSIG, Bonnievale Western Cape 6730",061 485 7038,mareli@fmcgts.co.za,Mareli Prinsloo,,
,Lactalis Kyalami (Pty) Ltd,07-QCTO/AC-TTC240823165534,102917,Occupational Certificate: Fermented Dairy Products Maker,"100 Monte Carlo Cres, Kyalami Park Midrand
Gauteng 1684",061 485 7038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Lactalis Ladismith (Pty) Ltd,01-QCTO/AC-TTC240823170118,102916,Occupational Certificate: Condensed Liquid Dairy Products Maker,"Van Riebeeck Street Ladiesmith Western Cape
6655",061 485 7038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Lactalis Ladismith (Pty) Ltd,01-QCTO/AC-TTC240823170118,103129,Occupational Certificate: Ripened Cheesemaker,"Van Riebeeck Street Ladiesmith Western Cape
6655",061 485 7038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Ladismith Cheese Company (Pty) Ltd,01-QCTO/AC-TTC240823170521,102919,"Occupational Certificate: Butter Maker
",Schoongesicht Laan Ladiesmith Western Cape 6655,825619092,eslabberr@ladismithcheese.co.za,Ernest Slabber,24-Aug-23,23-Aug-28
,Ladismith Cheese Company (Pty) Ltd,01-QCTO/AC-TTC240823170521,102961,"Occupational Certificate: Dried Dairy Products Maker
",Schoongesicht Laan Ladiesmith Western Cape 6655,825619092,eslabberr@ladismithcheese.co.za,Ernest Slabber,24-Aug-23,23-Aug-28
,Ladismith Cheese Company (Pty) Ltd,01-QCTO/AC-TTC240823170521,103129,Occupational Certificate: Ripened Cheesemaker,Schoongesicht Laan Ladiesmith Western Cape 6655,825619092,eslabberr@ladismithcheese.co.za,Ernest Slabber,24-Aug-23,23-Aug-28
,Lalumbe Artisan Development Academy (Pty) Ltd,09-QCTO/AC-TTC260523131452,91761,Occupational Certificate: Electrician,76 Mashamba Lada Makhado Limpopo 0942,079 769 5603,tradeofelectrical@gmail.com,Lufuno Mukwena,26-May-23,25-May-28
,Lengau Traffic Training College,AC-TTC030823095611,97639,Occupational Certificate: Traffic Officer,301 Church Street Bloemfontein Free State 9300,514090441,granny.sebake@rtmc.co.za,Percy Moloi,02-Aug-23,01-Aug-28
,Lengau Traffic Training College,AC-TTC030823095611,101875,Occupational Certificate: Road Traffic Safety Officer,301 Church Street Bloemfontein Free State 9300,514090441,granny.sebake@rtmc.co.za,Percy Moloi,02-Aug-23,01-Aug-28
,Lime Investments 23 (Pty) Ltd,07-QCTO/AC-TTC020324174539,91761,Occupational Certificate: Electrician,"435 Straus Crescent Street, wadeville
Germiston Gauteng",834150653,limeacademy23@outlook.com,Logan Pillay,01-Mar-24,28-Feb-29
,Lime Investments 23 (Pty) Ltd,07-QCTO/AC-TTC020324174539,94100,Occupational Certificate: Welder    ,"435 Straus Crescent Street, wadeville
Germiston Gauteng",834150653,limeacademy23@outlook.com,Logan Pillay,01-Mar-24,28-Feb-29
,Lime Investments 23 (Pty) Ltd,07-QCTO/AC-TTC020324174539,97585,Occupational Certificate: Millwright,"435 Straus Crescent Street, wadeville
Germiston Gauteng",834150653,limeacademy23@outlook.com,Logan Pillay,01-Mar-24,28-Feb-29
,Lime Investments 23 (Pty) Ltd,07-QCTO/AC-TTC020324174539,94021,"Occupational Certificate: Mechanical Fitter
","435 Straus Crescent Street, wadeville
Germiston Gauteng",834150653,limeacademy23@outlook.com,Logan Pillay,01-Mar-24,28-Feb-29
,"Limpopo Chefs Academy Pty Ltd (Mokopane
Campus)",ASC00150092020020 301,101697,Occupational Certificate: Chef,"82 Rabie Street, Mokopane",015 292 0102,Tommie@limpopochefs.c o.za,Tommie Hurter,02-Mar-20,02-Mar-25
,"Limpopo Chefs Academy Pty Ltd (Polokwane
Campus)",ASC00149092020020 301,101697,Occupational Certificate: Chef,21 Sapphire Street Superbia Polokwane 0699,071 603 327,Tommie@limpopochefs.c o.za,Tommie Hurter,02-Mar-20,02-Mar-25
,Limpopo Traffic Training College,AC-TTC030823100720,97639,Occupational Certificate: Traffic Officer,"Thengwe Road, Tshilamba Mutale Limpopo",726390344,granny.sebake@rtmc.co.za,Mukondeleli Nthakheni,02-Aug-23,01-Aug-28
,Limpopo Traffic Training College,AC-TTC030823100720,101875,Occupational Certificate: Road Traffic Safety Officer,"Thengwe Road, Tshilamba Mutale Limpopo",726390344,granny.sebake@rtmc.co.za,Mukondeleli Nthakheni,02-Aug-23,01-Aug-28
,Lincoln Lubrication SA (Pty) Ltd,QCTOASC00200908- 2119,94877,Occupational Certificate: Lubrication Equipment Mechanic,"06 Marlin Road, Jet Park, Boksburg",083 253 7759,sales@lincolnsa.com,Michael Mogagabe,14-Sep-20,14-Sep-25
,Lincoln Lubrication SA Pty Ltd,QCTOASC00191203- 1877,94877,Occupational Certificate: Lubrication Equipment Machanic,"17 Indianapolis Boulevard, Raceway Industrial, Gosforth Park, Germiston, 1401","0763921115
011 9071192",training@lincolnsa.com,Michael Mohahabe,05-Dec-19,05-Dec-24
,M5 Academy (Pty) Ltd,QCTOASC00210429- 2323,91761,Occupational Certificate: Electrician,27 Winnie Haveloh Street – Tedstoneville Germiston,"0826908174
0710354690",M5academy@outlook.co m,Margaret Lekganyane,30-Apr-21,30-Apr-26
,Mahube Training and Development CC,09-QCTO/AC-TTC250124145321,91761,Occupational Certificate: Electrician,"24 Pres Paul Kruger Street
Polokwane Limpopo 0699",152914105,wilypako@gmail.com,Wily Pako,25-Jan-24,24-Jan-29
,Mahube Training and Development CC,09-QCTO/AC-TTC150224122604,91782,Occupational Certificate: Plumber,"24 Pres Paul Kruger Street Polokwane Limpopo
0699",152914105,wilypako@gmail.com,Wily Pako,15-Feb-24,14-Feb-29
,Majuba TVET College,QCTOASC00210125- 2298,94100,"Occupational Certificate:
Welder","Corner of Allen and HJ Van Eck Drive, Barry Hetzog Park, Newcastle","0343182021
0648707787",Thami46@gmail.com,"TD
Ngwenya",16-Feb-21,16-Feb-26
,Majuba TVET College,QCTOASC00210125- 2298,93626,"Occupational Certificate:
Boilermaker","Corner of Allen and HJ Van Eck Drive, Barry Hetzog Park, Newcastle","0343182021
0648707787",Thami46@gmail.com,"TD
Ngwenya",16-Feb-21,16-Feb-26
,Majuba TVET College,QCTOASC00210726-2508,94021,Occupational Certificate: Mechanical Fitter ,"Corner of Allen and HJ Van Eck Drive, Barry Hetzog Park, Newcastle",034 318 2021,thami46@gmail.com,T D Ngwenya,09-Feb-22,08-Feb-27
,Majuba TVET College,QCTOASC00210726-2508,94020,Occupational Certificate: Fitter & Turner,"Corner of Allen and HJ Van Eck Drive, Barry Hetzog Park, Newcastle",034 318 2021,thami46@gmail.com,T D Ngwenya,09-Feb-22,08-Feb-27
,Majuba TVET College,QCTOASC00210726-2508,91761,Occupational Certificate: Electrician,"Corner of Allen and HJ Van Eck Drive, Barry Hetzog Park, Newcastle",034 318 2021,thami46@gmail.com,T D Ngwenya,09-Feb-22,08-Feb-27
,Majuba TVET College,QCTOASC00210726-2508,97592,Occupational Certificate: Diesel Mechanic,"Corner of Allen and HJ Van Eck Drive, Barry Hetzog Park, Newcastle",034 318 2021,thami46@gmail.com,T D Ngwenya,09-Feb-22,08-Feb-27
,Majuba TVET College,QCTOASC00210726-2508,97388,Occupational Certificate: Automotive Motor Mechanic  ,"Corner of Allen and HJ Van Eck Drive, Barry Hetzog Park, Newcastle",034 318 2021,thami46@gmail.com,T D Ngwenya,09-Feb-22,08-Feb-27
,Majuba TVET College,05-QCTO/AC-TTC280423134712,94701,Occupational Certificate: Instrument Mechanician,"2 HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",034 318 2021 / 064 870 7787,Thami.ngwenya@majuba.edu.za,Thami Ngwenya,25-Apr-23,24-Apr-28
,Majuba TVET College,05-QCTO/AC-TTC280423134712,102856,Occupational Certificate: Rigger ,"2 HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",034 318 2021 / 064 870 7787,Thami.ngwenya@majuba.edu.za,Thami Ngwenya,25-Apr-23,24-Apr-28
,Majuba TVET College,05-QCTO/AC-TTC280423134712,94021,Occupational Certificate: Mechanical Fitter ,"2 HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940","034 318 2021
064 870 7787",Thami.ngwenya@majuba.edu.za,Thami Ngwenya,25-Apr-23,24-Apr-28
,Majuba TVET College,05-QCTO/AC-TTC280423134712,91761,Occupational Certificate: Electrician ,"2 HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",034 318 2021 / 064 870 7787,Thami.ngwenya@majuba.edu.za,Thami Ngwenya,25-Apr-23,24-Apr-28
,Majuba TVET College,05-QCTO/AC-TTC280423134712,93627,Occupational Certificate: Bricklayer ,"2 HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",034 318 2021 / 064 870 7787,Thami.ngwenya@majuba.edu.za,Thami Ngwenya,25-Apr-23,24-Apr-28
,Majuba TVET College,05-QCTO/AC-TTC280423134712,94020,Occupational Certificate: Fitter and Turner,"2 HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",034 318 2021 / 064 870 7787,Thami.ngwenya@majuba.edu.za,Thami Ngwenya,25-Apr-23,24-Apr-28
,Majuba TVET College,AC-TTC191023190904,91782,Occupational Certificate: Plumber,"2HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",343182021,thami.ngwenya@majuba.edu.za,TD Ngwenya,19-Oct-23,18-Oct-28
,Majuba TVET College,AC-TTC191023190904,97585,Occupational Certificate: Millwright,"2HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",343182021,thami.ngwenya@majuba.edu.za,TD Ngwenya,19-Oct-23,18-Oct-28
,Majuba TVET College,AC-TTC191023190904,94022,Occupational Certificate: Carpenter,"2HJ Van Eck Drive, Barryhertzog Park
Newcastle KwaZulu-Natal 2940",343182021,thami.ngwenya@majuba.edu.za,TD Ngwenya,19-Oct-23,18-Oct-28
,Mangaung Traffic Training College,AC-TTC030823095933,97639,Occupational Certificate: Traffic Officer,"C/o Charlotte Maxeke and President Brand
Bloemfontein Free State 9300",514128100,granny.sebake@rtmc.co.za,Sabata Nyareli,02-Aug-23,01-Aug-28
,Mangaung Traffic Training College,AC-TTC030823095933,101875,Occupational Certificate: Road Traffic Safety Officer,"C/o Charlotte Maxeke and President Brand
Bloemfontein Free State 9300",514128100,granny.sebake@rtmc.co.za,Sabata Nyareli,02-Aug-23,01-Aug-28
,Matimba Rigging and Training,AC-TTC231123185449,102856,Occupational Certificate: Rigger,8 Charl Botch Street Secunda Mpumalanga,711965764,Sam.siboyi@matimbarigging.co.za,Sam Moskien Siboyi,23-Nov-23,22-Nov-28
,Matjhabeng Traffic Training College,AC-TTC030823100321,97639,Occupational Certificate: Traffic Officer,2 Kwartz street Welkom Free State 9460,573551257,granny.sebake@rtmc.co.za,Solomon Mokoena,02-Aug-23,01-Aug-28
,Matjhabeng Traffic Training College,AC-TTC030823100321,101875,Occupational Certificate: Road Traffic Safety Officer,2 Kwartz street Welkom Free State 9460,573551257,granny.sebake@rtmc.co.za,Solomon Mokoena,02-Aug-23,01-Aug-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,94021,Occupational Certificate: Mechanical Fitter,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,91761,Occupational Certificate: Electrician,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,94020,Occupational Certificate: Fitter and Turner,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,93626,Occupational Certificate: Boilermaker,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,102856,Occupational Certificate: Rigger,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,94701,Occupational Certificate: Instrument Mechanician ,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,97585,Occupational Certificate: Millwright,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,MCD Training Centre (Pty) Ltd,07-QCTO/AC-TTC150323103519,94100,Occupational Certificate: Welder,"Farm Kookfontein, Premises of Samancor, Lion Avenure Meyerton Gauteng 1960",0160180339/0765715633,gerhard@mcdtraining.co.za,Gerhard Nagel,15-Mar-23,14-Mar-28
,Mchana Tech (Pty) Ltd,07-QCTO/AC-TTC250124113133,91761,Occupational Certificate: Electrician,"214 Block G, Soshanguve
Pretoria Gauteng 0152",796381002,Lele.mchanatech.com,Mary-Ann Lechelele,25-Jan-24,24-Jan-29
,Mechatronics Development Academy (Pty) Ltd,AC-TTC191023192342,91761,Occupational Certificate: Electrician ,"376 Steve Biko Road, Arcadia
Pretoria Gauteng 0083",120230532,Info@mechatronicsdevacademy.co.za Mineva.fon@gmail.com,Mineva Zie Fon,19-Oct-23,18-Oct-28
,Mectom Skills Development and Training (Pty) Ltd,09-QCTO/AC-TTC140922112817,91761,Occupational Certificate: Electrician,"33 Plantation Road, Old Industrial
Tzaneen Limpopo 0850",015 004 0390,Kedibone.mectom@gmail.com,Kedibone Ramabina,14-Sep-22,13-Sep-27
,Melco Elevator SA (Pty) Ltd,QCTOASC00210726- 2350,94874,Occupational Certificate: Lift Mechanic,"15 Belgrade Avenue, Spartan Ext 2 Kempton Park 1619",113923330,Graeme.millward@melco sa.co.za,Graeme Millward,26-Jul-21,25-Jul-26
,Mercedes-Benz South Africa,02-QCTO/AC-TTC280423135759,97990,Occupational Certificate: Automotive Motor Mechanic,"7 Settlers Way, Gately Industrial, West Brook East London Eastern Cape 5201",043 706 2311,serisha.piyaray@mercedes-benz.com,Darian Hendricks,25-Apr-23,24-Apr-28
,Mercedes-Benz South Africa,02-QCTO/AC-TTC280423135759,91761,Occupational Certificate: Electrician ,"7 Settlers Way, Gately Industrial, West Brook East London Eastern Cape 5201",043 706 2311,serisha.piyaray@mercedes-benz.com,Darian Hendricks,25-Apr-23,24-Apr-28
,Mercedes-Benz South Africa,02-QCTO/AC-TTC280423135759,97585,Occupational Certificate: Millwright,"7 Settlers Way, Gately Industrial, West Brook East London Eastern Cape 5201",043 706 2311,serisha.piyaray@mercedes-benz.com,Darian Hendricks,25-Apr-23,24-Apr-28
,Mercedes-Benz South Africa,02-QCTO/AC-TTC280423135759,94020,Occupational Certificate: Fitter and Turner,"7 Settlers Way, Gately Industrial, West Brook East London Eastern Cape 5201",043 706 2311,serisha.piyaray@mercedes-benz.com,Darian Hendricks,25-Apr-23,24-Apr-28
,Mercedes-Benz South Africa,02-QCTO/AC-TTC280423135759,94021,Occupational Certificate: Mechanical Fitter ,"7 Settlers Way, Gately Industrial, West Brook East London Eastern Cape 5201",043 706 2311,serisha.piyaray@mercedes-benz.com,Darian Hendricks,25-Apr-23,24-Apr-28
,Michelangelo School of Hair,01-QCTO/AC-TTC280423140556,102497,Occupational Certificate: Hairdresser,76 York Street George Western Cape 6530,044 884 0791,lsie@africaskills.co.za,Elsie Harmse,25-Apr-23,24-Apr-28
,Michelangelo School of Hair,01-QCTO/AC-TTC280423140212,102497,Occupational Certificate: Hairdresser,"91 Long Street, Great Brak River George Western Cape 6525",044 884 0791,elsie@africaskills.co.za,Elsie Harmse,25-Apr-23,24-Apr-28
,Milnex Training Pty Ltd,QCTOASC00190510- 1631,91761,Occupational Certificate: Electrician,"243 Jan Neethling Street,Riversdale, Meyerton",084 703 7932   016 364 1853,evertopperman@milnext raining.co.za,"Evert Philippus
Opperman",15-May-19,15-May-24
,Mlangeni Mechanical Engineering (Pty) Ltd,AC-TTC231123182457,97990,Occupational Certificate: Automotive Motor Mechanic,"1 Wigford Road, Masons Mill Pietermaritzburg
KwaZulu-Natal",659041540,info@mlamecengineering.co.za,Thembekile Mbhele,23-Nov-23,22-Nov-28
,Mlangeni Mechanical Engineering (Pty) Ltd,AC-TTC231123182457,97592,Occupational Certificate: Diesel Mechanic,"1 Wigford Road, Masons Mill Pietermaritzburg
KwaZulu-Natal",659041540,info@mlamecengineering.co.za,Thembekile Mbhele,23-Nov-23,22-Nov-28
,Mlangeni Mechanical Engineering Pty Ltd ,QCTOASC00210726-2513,97592,Occupational Certificate: Diesel Mechanic,113 2nd Street Wynberg 2090,065 904 1540,admin@mlamecengineering.co.za,Thembekile Mbhele,09-Mar-22,08-Mar-27
,Mlangeni Mechanical Engineering Pty Ltd ,QCTOASC00210726-2513,97388,Occupational Certificate: Automotive Motor Mechanic  ,113 2nd Street Wynberg 2090,065 904 1540,admin@mlamecengineering.co.za,Thembekile Mbhele,09-Mar-22,08-Mar-27
,Moolmans South Africa,03-QCTO/AC-TTC071222095152,97592,Occupational Certificate: Diesel Mechanic,"Portion Farm A, Deben Road Kathu Northern Cape 8446",082 571 0331,David.mulaudzi@moolmans.com,David Mulaudzi,07-Dec-22,06-Dec-27
,Mopani TVET College,QCTOASC00210726-2510,99255,Occupational Certificate: Pipe Fitter,Corner Tambo & Calvin Ngobeni Streets Namakgale 1391,157691529,rikskho@gmail.com,AC Rikhotso,09-Feb-22,08-Mar-27
,Mopani TVET College,QCTOASC00210726-2510,97592,Occupational Certificate: Diesel Mechanic,Corner Tambo & Calvin Ngobeni Streets Namakgale 1391,157691529,rikskho@gmail.com,AC Rikhotso,09-Feb-22,08-Mar-27
,Motus Group,07-QCTO/AC-TTC260523133348,97992,Occupational Certificate: Diesel Mechanic,"16 Dakota Crescent, Airport Park, Extension 4 Germiston Gauteng 1408",011 824 4290,jcorreia@motusacademy.co.za,Jan Corriea,26-May-23,25-May-28
,Motus Group Ltd,QCTOASC00210726- 2347,97990,Occupational Certificate: Automotive Motor Mechanic,Cnr Dekema and Osborn Roads - Wadeville Germiston 1428,112554000,ldesousa@motusacademy.co.za,Lee de Sousa,26-Jul-21,25-Jul-26
,Motus Group Ltd,QCTOASC00210726- 2347,97592,"Occupational Certificate:
Diesel Mechanic",Cnr Dekema and Osborn Roads - Wadeville Germiston 1428,112554000,ldesousa@motusacademy.co.za,Lee de Sousa,26-Jul-21,25-Jul-26
,Motus Technical Academy,AC-TTC231123182100,97990,Occupational Certificate: Automotive Motor Mechanic,"16 Dakota Crescent, Airport Park Ext 4
Germiston Gauteng",118244290,jcorreia@motusacademy.co.za,Jan Correia,23-Nov-23,22-Nov-28
,MPK Electrical,QCTOASC00210614-2339,91761,Occupational Certificate:Electrician,74 Victoria Street Germiston 1400,117493284,kabongompk@gmail.com,"Patient
Kabongo",14-Jun-21,13-Jun-26
,MPK Electrical and Projects,QCTOASC00210726-2543,91761,Occupational Certificate:Electrician,34/36 Petit Street Germiston 1401,117493284,kabongompk@gmail.com,"Patient
Kabongo",08-Aug-22,07-Aug-27
